doc_id,cleaned_text,bertopic_topic,bertopic_probability
285475177,place spacious amazing view convenient location explore felt like cleaner might rushed missed thing wifi unreliable still nice place enjoyed getting explore,-1,0.0
59745443,really enjoyed staying andis great place inside facility building location close federation square recommend place anyone andi great friendly professional host guided really well helpful throughout thanks andi,-1,0.0
158248691,gorgeous property situated close walk train tram station easy access city roomy house slept comfortably nearby restaurant cafe yummy recommended,1,0.5367245564328023
246128272,look must,55,0.19380018340915253
233068716,lovely well located quality fixture fitting perfect fussy traveller,57,0.9537199029560034
233744617,room really clean cozy wonderful view room amazing host kind really recommend host room,-1,0.0
296935653,outstanding location view couple minor issue tony work otherwise hesitate staying,-1,0.0
296450071,lisa clean comfortable cool,23,0.4198436469689795
25804897,therese greet premise arrived showed around mansion generously provided welcoming bottle wine strawberry well breakfast need impressed character quality location within easy walking distance elwood village cafe interesting shop minute beach beachside walking path best minute walk son daughter law address made perfect day elwood,-1,0.0
198886219,jacinta wonderful host helpful direction transport advice accommodating need location great room expected overall great,-1,0.0
124412290,peter wonderful host arrival took around amazing house left hamper lot goody perfect set group boy loved putting green recommend staying,-1,0.0
111326463,stayed jared place several time always happy client however time round experience arrival complicated text one person asked text another person minute late blind bedroom made sleeping experience troublesome given flat facing building within close proximity lastly strong wind noise floor might strong wind date poor sound proof building specific,-1,0.0
232445644,location value property met great people,11,1.0
133345559,l appartement erin est tr bien plac proche transport public tr propre et tr bien agence avec une coration tr bon go erin est une personne tr g reuse qui prend soin h te et qui pense tous le petits tail qui font diff rence recommander chaleureusement et absolument,18,0.1663350317064949
229483537,spotlessly clean nice location beware though tv asked situation rectified live modern world,3,1.0
163479157,great city comfy firm bed important clean decor artistic flair recommend,5,1.0
163467491,lovely clean wonderful bed huge balcony light filled sure suited visit perfectly thanks julia accommodating,-1,0.0
183287380,great location close shop restaurant modern decor amenity,4,1.0
269735186,beautiful house,20,0.8081486852119297
188287902,thanks great host,65,1.0
37510960,nadeen made feel welcome accommodated flexible meet whenever ready providing range tea real coffee stove top cafeteria cereal raisin toast biscuit fruit barely used always nice host go extra mile offer extra nadeen provided mattress one bed super comfortable warm loved proximity lygon street brunswick street foot btw nice bar markov around corner,-1,0.0
228679918,well situated near southern cross station close tram free city tram zone super clean stylish furnishing easy check check great communication thanks,1,1.0
